ylogistic,xdpend,ydpend,xlorenz,ylorenz,zlorenz
2.201680597004490314e-01,2.641119440959850961e-01,-4.853713745427774562e-01,-9.835432137848927781e+00,-9.202215542579148533e+00,3.483072505338889613e+01
6.524375237151164297e-01,2.642685079671294734e-01,-4.981414554162423292e-01,-9.772110478321950566e+00,-8.438362060004246601e+00,3.480686728108397432e+01
8.616986451816925907e-01,2.644307729029807819e-01,-5.104748269973896635e-01,-9.638735636490180170e+00,-7.688803848583928513e+00,3.470317419376188184e+01
4.528615422801665069e-01,2.645748145262208362e-01,-5.222583013030503984e-01,-9.443742457699555004e+00,-6.965814570307950149e+00,3.451874401458753994e+01
9.415562700544226615e-01,2.646667509267935925e-01,-5.333671011567642228e-01,-9.195949668960395229e+00,-6.280543028390519034e+00,3.425596269981928543e+01
2.091066294273778992e-01,2.646606709465910701e-01,-5.436666615557389504e-01,-8.904409004903406810e+00,-5.642442416922296644e+00,3.391991175044329765e+01
6.284479784362168031e-01,2.644968022211542369e-01,-5.530163922294615286e-01,-8.578212346105296149e+00,-5.058884837764265896e+00,3.351769385472789509e+01
8.873042439754668109e-01,2.641004494991653351e-01,-5.612760292338758727e-01,-8.226279595271194012e+00,-4.534976493920061635e+00,3.305773884335064849e+01
3.799826058746498814e-01,2.633824537273691813e-01,-5.683149343898354910e-01,-7.857149285136080685e+00,-4.073562990528201588e+00,3.254914879436817898e+01
8.952641354079694525e-01,2.622419956137133079e-01,-5.740240038195969507e-01,-7.478790655675292776e+00,-3.675393948646443754e+00,3.200112892141223142e+01
3.563118003887235097e-01,2.605723148591470029e-01,-5.783287214597869763e-01,-7.098450984972408229e+00,-3.339403953263880176e+00,3.142253383226879393e+01
8.715440649113858074e-01,2.582691775152062275e-01,-5.812006745048907685e-01,-6.722546281801555779e+00,-3.063063027203543065e+00,3.082154080777485206e+01
4.254290297506709284e-01,2.552408421579310249e-01,-5.826642690745280628e-01,-6.356597956341754951e+00,-2.842753010268925795e+00,3.020544614407600648e+01
9.288688475050800308e-01,2.514173511354332868e-01,-5.827961714442275731e-01,-6.005213461734472347e+00,-2.674134135643682963e+00,2.958056927516809864e+01
2.510717442307247582e-01,2.467568618158395843e-01,-5.817171543193618843e-01,-5.672105529125393453e+00,-2.552476235402812765e+00,2.895224295569787643e+01
7.145319492227318880e-01,2.412476580946976146e-01,-5.795785079192702360e-01,-5.360142599753135784e+00,-2.472939247707938382e+00,2.832486578174730951e+01
7.751089624982416826e-01,2.349059483234764989e-01,-5.765466085504320493e-01,-5.071422264548615999e+00,-2.430796586071400700e+00,2.770199468143051647e+01
6.623972232619359524e-01,2.277707391119109803e-01,-5.727890178524516207e-01,-4.807359696700894247e+00,-2.421601728286158384e+00,2.708645844254867896e+01
8.497831391318890759e-01,2.198974785747500049e-01,-5.684641246267334580e-01,-4.568783899859420572e+00,-2.441302939648825276e+00,2.648047770138614609e+01
4.850766712003578007e-01,2.113518731398887907e-01,-5.637148066395787360e-01,-4.356035803838360643e+00,-2.486313600386180767e+00,2.588578121674364851e+01
9.491537181786434685e-01,2.022046938091055235e-01,-5.586655467057420887e-01,-4.169063583493142211e+00,-2.553546591552441569e+00,2.530371214232161847e+01
1.833915622959389480e-01,1.925278461975440114e-01,-5.534220238790635849e-01,-4.007511884299072236e+00,-2.640421080817533905e+00,2.473532112052184573e+01
5.690845692634559638e-01,1.823916328233558815e-01,-5.480722207270869450e-01,-3.870802803950918580e+00,-2.744849264088647267e+00,2.418144529484682792e+01
9.318638247007944297e-01,1.718629799178668649e-01,-5.426883038113635704e-01,-3.758207449964691360e+00,-2.865209494045229732e+00,2.364277385111183349e+01
2.412758202762456672e-01,1.610043704096314476e-01,-5.373287822840299155e-01,-3.668907654372745242e+00,-3.000310996844102185e+00,2.311990158916498572e+01
6.956348355398276340e-01,1.498732561430053956e-01,-5.320406509002654216e-01,-3.602047988619880847e+00,-3.149354191011709769e+00,2.261337245360015658e+01
8.045626422685573376e-01,1.385217741915299727e-01,-5.268613644008522945e-01,-3.556778608859063606e+00,-3.311889558291132740e+00,2.212371505955449535e+01
5.975180683507000934e-01,1.269966430521408396e-01,-5.218205770762662787e-01,-3.532289703802270697e+00,-3.487777108465593745e+00,2.165147215827451177e+01
9.138628601115631467e-01,1.153391562874414855e-01,-5.169416293327233625e-01,-3.527838444268602824e+00,-3.677147732677227943e+00,2.119722578750723230e+01
2.991266254770514887e-01,1.035852227018928540e-01,-5.122427876725216267e-01,-3.542769373109465381e+00,-3.880367139295566314e+00,2.076161960712035182e+01
7.966695721495002935e-01,9.176542443355967249e-02,-5.077382540460667615e-01,-3.576529149728075563e+00,-4.098002591570711672e+00,2.034537967077362097e+01
6.155512268504031992e-01,7.990507972477604859e-02,-5.034389630220226231e-01,-3.628676493912339041e+00,-4.330792293030797602e+00,1.994933465219822821e+01
8.992620730987932465e-01,6.802430734201567186e-02,-4.993531839997347732e-01,-3.698888073824184719e+00,-4.579616971179718554e+00,1.957443633896147617e+01
3.442412285424447105e-01,5.613809634023188971e-02,-4.954869439288892563e-01,-3.786960963559737881e+00,-4.845472970878539343e+00,1.922178102777516884e+01
8.578089794333255691e-01,4.425638902914832973e-02,-4.918442840275869532e-01,-3.892812164291618249e+00,-5.129445966943703361e+00,1.889263229767141539e+01
4.634963901001515896e-01,3.238418749725312934e-02,-4.884273638656292937e-01,-4.016475544556826982e+00,-5.432684225037279546e+00,1.858844549085446829e+01
9.449364485642626210e-01,2.052169514798207750e-02,-4.852364255724513908e-01,-4.158096412604872505e+00,-5.756370168009372179e+00,1.831089408292499954e+01
1.977199156082808662e-01,8.664505003524338236e-03,-4.822696332135504860e-01,-4.317923788145322739e+00,-6.101688831880660580e+00,1.806189795918564300e+01
6.027816522045136294e-01,-3.196154125595865834e-03,-4.795228040464094010e-01,-4.496300292518856878e+00,-6.469791615672332519e+00,1.784365341416454243e+01
9.098565414864194789e-01,-1.507310373975638031e-02,-4.769890515532324016e-01,-4.693649424834203998e+00,-6.861753540763757542e+00,1.765866443694961063e+01
3.116669385230054212e-01,-2.698282613143861142e-02,-4.746583629286252326e-01,-4.910459836427158997e+00,-7.278522042531409220e+00,1.750977451201576329e+01
8.152165002278698447e-01,-3.894499385030260330e-02,-4.725171365700153725e-01,-5.147266057037583664e+00,-7.720855131444205988e+00,1.740019772736430426e+01
5.724265203395546564e-01,-5.098191596632679207e-02,-4.705477077545180964e-01,-5.404624964478245808e+00,-8.189246604622239190e+00,1.733354740946937156e+01
9.300667167757153964e-01,-6.311790239496647970e-02,-4.687278917407712298e-01,-5.683087128492645412e+00,-8.683835898108071660e+00,1.731385976645492519e+01
2.471619526626750440e-01,-7.537855159281081630e-02,-4.670305743002330368e-01,-5.983162005454188304e+00,-9.204300199272264393e+00,1.734560908666837520e+01
7.070771029108647854e-01,-8.778997085964013181e-02,-4.654233781445976104e-01,-6.305275824835995913e+00,-9.749726666318561996e+00,1.743370988471773231e+01
7.870524791101638495e-01,-1.003779427819737197e-01,-4.638684318185889999e-01,-6.649720908984252610e+00,-1.031846313587630526e+01,1.758350000057128426e+01
6.368833220994939426e-01,-1.131670546373701458e-01,-4.623222626792199419e-01,-7.016595131673457608e+00,-1.090794668296389780e+01,1.780069705618824827e+01
8.787992332978235011e-01,-1.261798106922080998e-01,-4.607358305272142296e-01,-7.405730286802501894e+00,-1.151451100995438281e+01,1.809131892162208999e+01
4.047423352413280773e-01,-1.394357492256967923e-01,-4.590547113697521775e-01,-7.816608359117689808e+00,-1.213317609549894094e+01,1.846155707522382983e+01
9.155187137579530177e-01,-1.529505865609230852e-01,-4.572194331486014174e-01,-8.248265132755815188e+00,-1.275742706153167561e+01,1.891759020493485011e+01
2.939079543643579595e-01,-1.667354095937588210e-01,-4.551659574572546885e-01,-8.699181325633400519e+00,-1.337899403125671682e+01,1.946532448232230905e+01
7.885990611577224918e-01,-1.807959357963042080e-01,-4.528262936692592500e-01,-9.167162596195732149e+00,-1.398765098978137367e+01,2.011004722870346484e+01
6.335002112157482879e-01,-1.951318555943757360e-01,-4.501292254416590644e-01,-9.649211435554295946e+00,-1.457105927919136512e+01,2.085598297873558238e+01
8.822752357003321722e-01,-2.097362667899462241e-01,-4.470011246200346067e-01,-1.014139621991800233e+01,-1.511468999377324351e+01,2.170574623094183409e+01
3.946894478469707979e-01,-2.245952040936412819e-01,-4.433668252936385779e-01,-1.063872559730352663e+01,-1.560186830764282107e+01,2.265969457864346026e+01
9.078568128998516507e-01,-2.396872607717265291e-01,-4.391505301816913676e-01,-1.113503986833745607e+01,-1.601399006440243866e+01,2.371520048153382376e+01
3.178807166504665216e-01,-2.549832918275005689e-01,-4.342767257120379587e-01,-1.162293488794395380e+01,-1.633096429841795327e+01,2.486588026287412845e+01
8.239637532025588795e-01,-2.704461825009837339e-01,-4.286710870300767806e-01,-1.209373782899135463e+01,-1.653193135179011364e+01,2.610084458324176637e+01
5.511804491214638002e-01,-2.860306617469017265e-01,-4.222613657835828094e-01,-1.253755718127123053e+01,-1.659629091534004175e+01,2.740406349396103280e+01
9.400461341853558750e-01,-3.016831369438766064e-01,-4.149782632625880763e-01,-1.294343055467811254e+01,-1.650504388639534881e+01,2.875396658405797368e+01
2.141657191963903251e-01,-3.173415289053236332e-01,-4.067563107432192182e-01,-1.329959188784983581e+01,-1.624240430631837384e+01,3.012341718871587659e+01
6.395353028864362299e-01,-3.329350888780568951e-01,-3.975347936269392202e-01,-1.359387312969668926e+01,-1.579757444307952419e+01,3.148019913780771617e+01
8.760136171438839270e-01,-3.483841941978542134e-01,-3.872587796936906024e-01,-1.381424326103497258e+01,-1.516650484319434966e+01,3.278812445416400578e+01
4.127322869450161802e-01,-3.636001355049987005e-01,-3.758803294022190489e-01,-1.394946941925091011e+01,-1.435339663502308660e+01,3.400880304820697120e+01
9.210605157809813592e-01,-3.784849423303790483e-01,-3.633599886316401517e-01,-1.398986214082812829e+01,-1.337166652500020803e+01,3.510401094513762388e+01
2.762905597909650068e-01,-3.929313353197408376e-01,-3.496686700714626839e-01,-1.392804257924533573e+01,-1.224410852205611100e+01,3.603846468600959696e+01
7.598255281731687294e-01,-4.068229510581223840e-01,-3.347900245775417005e-01,-1.375964917352641237e+01,-1.100206665265053374e+01,3.678268348123470588e+01
6.934646406562287035e-01,-4.200350521831882067e-01,-3.187233630906954884e-01,-1.348389092143882451e+01,-9.683579551084877224e+00,3.731553508603243330e+01
8.077714446998739417e-01,-4.324360038876300938e-01,-3.014871001892289182e-01,-1.310385978440342925e+01,-8.330647165825052269e+00,3.762605306924698567e+01
5.900516037439392791e-01,-4.438898275422479278e-01,-2.831225281911081693e-01,-1.262653852254559084e+01,-6.985956197200414053e+00,3.771420255763326423e+01
9.191846929199491978e-01,-4.542601114889830982e-01,-2.636975073581622198e-01,-1.206248029001107369e+01,-5.689529107130736563e+00,3.759044922582885562e+01
2.822799342421100088e-01,-4.634153977526624946e-01,-2.433093947304116877e-01,-1.142518517172304016e+01,-4.475787768470303796e+00,3.727421027211808990e+01
7.698722972722441549e-01,-4.712358512528649901e-01,-2.220863298634296878e-01,-1.073024543139776732e+01,-3.371434193981150074e+00,3.679147412460176270e+01
6.732419840270056355e-01,-4.776205808005024034e-01,-2.001859888638109486e-01,-9.994364307656105950e+00,-2.394373101433741269e+00,3.617200867327088076e+01
8.359514168874695450e-01,-4.824945535055701340e-01,-1.777912349182505791e-01,-9.234365187033869660e+00,-1.553689052359457534e+00,3.544660357259655825e+01
5.211192528669461588e-01,-4.858138333837551670e-01,-1.551027444963181678e-01,-8.466297573566428980e+00,-8.505055939115856445e-01,3.464471597628124755e+01
9.483051132016995233e-01,-4.875680607131513411e-01,-1.323294905250448628e-01,-7.704718375600944746e+00,-2.794391105021897248e-01,3.379274773565420986e+01
1.862855968134032314e-01,-4.877796798274225409e-01,-1.096785780272828276e-01,-6.962190449091069766e+00,1.696701798439896325e-01,3.291302515003979323e+01
5.760164382864541022e-01,-4.865001996460338596e-01,-8.734606802336243592e-02,-6.249004386197563932e+00,5.100276458030624793e-01,3.202342200823218121e+01
